index,Sector,Indicator,Unit,Country_code,Country,Year,Variable,Value
146,Transport Road,Road transport emissions intensity,kg CO2 / vkm,BR,Brazil,2030,projected_current_policy_min,0.10042618
147,Transport Road,Road transport emissions intensity,kg CO2 / vkm,BR,Brazil,2050,projected_current_policy_min,0.097514912
148,Transport Road,Road transport biofuel/electrification share,% biofuels/elec.,BR,Brazil,2015,projected_current_policy_min,18.68747486
149,Transport Road,Road transport biofuel/electrification share,% biofuels/elec.,BR,Brazil,2020,projected_current_policy_min,20.37268238
150,Transport Road,Road transport biofuel/electrification share,% biofuels/elec.,BR,Brazil,2025,projected_current_policy_min,20.53184662
151,Transport Road,Road transport biofuel/electrification share,% biofuels/elec.,BR,Brazil,2030,projected_current_policy_min,20.6521586
152,Transport Road,Road transport biofuel/electrification share,% biofuels/elec.,BR,Brazil,2050,projected_current_policy_min,20.78225009
153,Transport Road,Road transport biofuel/electrification share,% biofuels/elec.,BR,Brazil,2015,projected_current_policy_min,18.68747486
154,Transport Road,Road transport biofuel/electrification share,% biofuels/elec.,BR,Brazil,2020,projected_current_policy_min,20.37268238
155,Transport Road,Road transport biofuel/electrification share,% biofuels/elec.,BR,Brazil,2025,projected_current_policy_min,20.53184662
156,Transport Road,Road transport biofuel/electrification share,% biofuels/elec.,BR,Brazil,2030,projected_current_policy_min,20.6521586
157,Transport Road,Road transport biofuel/electrification share,% biofuels/elec.,BR,Brazil,2050,projected_current_policy_min,20.78225009
158,Transport Road,EVs per capita,EVs / 1000 cap,BR,Brazil,2015,projected_current_policy_min,0.002886731
159,Transport Road,EVs per capita,EVs / 1000 cap,BR,Brazil,2020,projected_current_policy_min,0.029676336
160,Transport Road,EVs per capita,EVs / 1000 cap,BR,Brazil,2025,projected_current_policy_min,0.858387188
161,Transport Road,EVs per capita,EVs / 1000 cap,BR,Brazil,2030,projected_current_policy_min,8.715873632
162,Transport Road,EVs per capita,EVs / 1000 cap,BR,Brazil,2050,projected_current_policy_min,49.52357087
163,Transport Road,EVs per capita,EVs / 1000 cap,BR,Brazil,2015,projected_current_policy_min,0.057734629
164,Transport Road,EVs per capita,EVs / 1000 cap,BR,Brazil,2020,projected_current_policy_min,0.101188436
165,Transport Road,EVs per capita,EVs / 1000 cap,BR,Brazil,2025,projected_current_policy_min,4.014780925
166,Transport Road,EVs per capita,EVs / 1000 cap,BR,Brazil,2030,projected_current_policy_min,15.12486149
167,Transport Road,EVs per capita,EVs / 1000 cap,BR,Brazil,2050,projected_current_policy_min,270.2811834
168,Buildings,Buildings activity (residential),mÂ² / cap,BR,Brazil,2015,projected_current_policy_min,20.97283951
169,Buildings,Buildings activity (residential),mÂ² / cap,BR,Brazil,2020,projected_current_policy_min,23.71428571
170,Buildings,Buildings activity (residential),mÂ² / cap,BR,Brazil,2025,projected_current_policy_min,25.48372093
171,Buildings,Buildings activity (residential),mÂ² / cap,BR,Brazil,2030,projected_current_policy_min,27.17272727
172,Buildings,Buildings activity (residential),mÂ² / cap,BR,Brazil,2050,projected_current_policy_min,30.26457399
173,Buildings,Buildings activity (residential),mÂ² / cap,BR,Brazil,2015,projected_current_policy_min,20.97283951
174,Buildings,Buildings activity (residential),mÂ² / cap,BR,Brazil,2020,projected_current_policy_min,23.71428571
175,Buildings,Buildings activity (residential),mÂ² / cap,BR,Brazil,2025,projected_current_policy_min,25.48372093
176,Buildings,Buildings activity (residential),mÂ² / cap,BR,Brazil,2030,projected_current_policy_min,27.17272727
177,Buildings,Buildings activity (residential),mÂ² / cap,BR,Brazil,2050,projected_current_policy_min,30.26457399
178,Buildings,Buildings activity (commercial),mÂ² / cap,BR,Brazil,2015,projected_current_policy_min,2.02962963
179,Buildings,Buildings activity (commercial),mÂ² / cap,BR,Brazil,2020,projected_current_policy_min,2.061904762
180,Buildings,Buildings activity (commercial),mÂ² / cap,BR,Brazil,2025,projected_current_policy_min,2.111627907
181,Buildings,Buildings activity (commercial),mÂ² / cap,BR,Brazil,2030,projected_current_policy_min,2.159090909
182,Buildings,Buildings activity (commercial),mÂ² / cap,BR,Brazil,2050,projected_current_policy_min,2.605381166
183,Buildings,Buildings activity (commercial),mÂ² / cap,BR,Brazil,2015,projected_current_policy_min,2.02962963
184,Buildings,Buildings activity (commercial),mÂ² / cap,BR,Brazil,2020,projected_current_policy_min,2.061904762
185,Buildings,Buildings activity (commercial),mÂ² / cap,BR,Brazil,2025,projected_current_policy_min,2.111627907
186,Buildings,Buildings activity (commercial),mÂ² / cap,BR,Brazil,2030,projected_current_policy_min,2.159090909
187,Buildings,Buildings activity (commercial),mÂ² / cap,BR,Brazil,2050,projected_current_policy_min,2.605381166
188,Buildings,Buildings emissions intensity (per capita),t CO2 / cap,BR,Brazil,2025,projected_current_policy_min,0.100907585
189,Buildings,Buildings emissions intensity (per capita),t CO2 / cap,BR,Brazil,2030,projected_current_policy_min,0.088135168
190,Buildings,Buildings emissions intensity (per capita),t CO2 / cap,BR,Brazil,2025,projected_current_policy_min,0.100907585
191,Buildings,Buildings emissions intensity (per capita),t CO2 / cap,BR,Brazil,2030,projected_current_policy_min,0.088135168
192,Forestry,Forest land area index,ha of forest (indexed to 1990),BR,Brazil,2015,projected_current_policy_min,0.903770161
193,Forestry,Forest land area index,ha of forest (indexed to 1990),BR,Brazil,2020,projected_current_policy_min,0.903770168
194,Forestry,Forest land area index,ha of forest (indexed to 1990),BR,Brazil,2025,projected_current_policy_min,0.901810972
195,Forestry,Forest land area index,ha of forest (indexed to 1990),BR,Brazil,2030,projected_current_policy_min,0.888868158
196,Forestry,Forest land area index,ha of forest (indexed to 1990),BR,Brazil,2050,projected_current_policy_min,0.865202252
197,Forestry,Forest land area index,ha of forest (indexed to 1990),BR,Brazil,2015,projected_current_policy_min,0.903770161
198,Forestry,Forest land area index,ha of forest (indexed to 1990),BR,Brazil,2020,projected_current_policy_min,0.903770168
199,Forestry,Forest land area index,ha of forest (indexed to 1990),BR,Brazil,2025,projected_current_policy_min,0.901810972
200,Forestry,Forest land area index,ha of forest (indexed to 1990),BR,Brazil,2030,projected_current_policy_min,0.888868158
201,Forestry,Forest land area index,ha of forest (indexed to 1990),BR,Brazil,2050,projected_current_policy_min,0.865202252
202,Agriculture,Agriculture activity (meat): consumption,meat kcal / cap / day,BR,Brazil,2020,projected_current_policy_min,496.95
203,Agriculture,Agriculture activity (meat): consumption,meat kcal / cap / day,BR,Brazil,2025,projected_current_policy_min,505.21
204,Agriculture,Agriculture activity (meat): consumption,meat kcal / cap / day,BR,Brazil,2020,projected_current_policy_min,496.95
205,Agriculture,Agriculture activity (meat): consumption,meat kcal / cap / day,BR,Brazil,2025,projected_current_policy_min,505.21
206,Agriculture,Agriculture activity (total): consumption,kcal / cap / day,BR,Brazil,2015,projected_current_policy_min,2990
207,Agriculture,Agriculture activity (total): consumption,kcal / cap / day,BR,Brazil,2020,projected_current_policy_min,2954.333333
208,Agriculture,Agriculture activity (total): consumption,kcal / cap / day,BR,Brazil,2025,projected_current_policy_min,2918.666667
209,Agriculture,Agriculture activity (total): consumption,kcal / cap / day,BR,Brazil,2030,projected_current_policy_min,3090
210,Agriculture,Agriculture activity (total): consumption,kcal / cap / day,BR,Brazil,2050,projected_current_policy_min,3200
211,Agriculture,Agriculture activity (total): consumption,kcal / cap / day,BR,Brazil,2015,projected_current_policy_min,2990
212,Agriculture,Agriculture activity (total): consumption,kcal / cap / day,BR,Brazil,2020,projected_current_policy_min,2954.333333
213,Agriculture,Agriculture activity (total): consumption,kcal / cap / day,BR,Brazil,2025,projected_current_policy_min,2918.666667
214,Agriculture,Agriculture activity (total): consumption,kcal / cap / day,BR,Brazil,2030,projected_current_policy_min,3090
215,Agriculture,Agriculture activity (total): consumption,kcal / cap / day,BR,Brazil,2050,projected_current_policy_min,3200
216,Agriculture,Agriculture activity (meat): production,meat kg / cap / day,BR,Brazil,2020,projected_current_policy_min,0.393
217,Agriculture,Agriculture activity (meat): production,meat kg / cap / day,BR,Brazil,2025,projected_current_policy_min,0.401
218,Agriculture,Agriculture activity (meat): production,meat kg / cap / day,BR,Brazil,2020,projected_current_policy_min,0.393
219,Agriculture,Agriculture activity (meat): production,meat kg / cap / day,BR,Brazil,2025,projected_current_policy_min,0.401
220,Waste,Waste generation (per capita),t waste / cap,BR,Brazil,2015,projected_current_policy_min,0.36792
221,Waste,Waste generation (per capita),t waste / cap,BR,Brazil,2020,projected_current_policy_min,0.38909
222,Waste,Waste generation (per capita),t waste / cap,BR,Brazil,2025,projected_current_policy_min,0.419385
223,Waste,Waste generation (per capita),t waste / cap,BR,Brazil,2030,projected_current_policy_min,0.44822
224,Waste,Waste generation (per capita),t waste / cap,BR,Brazil,2050,projected_current_policy_min,0.547865
225,Waste,Waste generation (per capita),t waste / cap,BR,Brazil,2025,projected_current_policy_min,0.527897637
226,Macro,Emissions per capita,tCO2e / cap,BR,Brazil,2015,projected_current_policy_min,5.080250174
227,Macro,Emissions per capita,tCO2e / cap,BR,Brazil,2020,projected_current_policy_min,4.867865427
228,Macro,Emissions per capita,tCO2e / cap,BR,Brazil,2025,projected_current_policy_min,4.832724753
229,Macro,Emissions per capita,tCO2e / cap,BR,Brazil,2030,projected_current_policy_min,4.889768471
230,Macro,Emissions per capita,tCO2e / cap,BR,Brazil,2015,projected_current_policy_min,5.080250174
231,Macro,Emissions per capita,tCO2e / cap,BR,Brazil,2020,projected_current_policy_min,4.873465098
232,Macro,Emissions per capita,tCO2e / cap,BR,Brazil,2025,projected_current_policy_min,4.840407496
233,Macro,Emissions per capita,tCO2e / cap,BR,Brazil,2030,projected_current_policy_min,4.901654422
234,Macro,Primary energy demand per capita,GJ (primary) / cap,BR,Brazil,2015,projected_current_policy_min,60.0244281
235,Macro,Primary energy demand per capita,GJ (primary) / cap,BR,Brazil,2020,projected_current_policy_min,57.86004986
236,Macro,Primary energy demand per capita,GJ (primary) / cap,BR,Brazil,2025,projected_current_policy_min,60.27379564
237,Macro,Primary energy demand per capita,GJ (primary) / cap,BR,Brazil,2030,projected_current_policy_min,64.08463072
238,Macro,Primary energy demand per capita,GJ (primary) / cap,BR,Brazil,2015,projected_current_policy_min,60.0244281
239,Macro,Primary energy demand per capita,GJ (primary) / cap,BR,Brazil,2020,projected_current_policy_min,57.86004986
240,Macro,Primary energy demand per capita,GJ (primary) / cap,BR,Brazil,2025,projected_current_policy_min,60.27379564
241,Macro,Primary energy demand per capita,GJ (primary) / cap,BR,Brazil,2030,projected_current_policy_min,64.08463072
242,Macro,Final energy demand per capita,GJ (final) / cap,BR,Brazil,2015,projected_current_policy_min,45.69940327
243,Macro,Final energy demand per capita,GJ (final) / cap,BR,Brazil,2020,projected_current_policy_min,46.32680709
244,Macro,Final energy demand per capita,GJ (final) / cap,BR,Brazil,2025,projected_current_policy_min,48.63212795
245,Macro,Final energy demand per capita,GJ (final) / cap,BR,Brazil,2030,projected_current_policy_min,51.45080352
246,Macro,Final energy demand per capita,GJ (final) / cap,BR,Brazil,2015,projected_current_policy_min,45.69940327
247,Macro,Final energy demand per capita,GJ (final) / cap,BR,Brazil,2020,projected_current_policy_min,46.32680709
248,Macro,Final energy demand per capita,GJ (final) / cap,BR,Brazil,2025,projected_current_policy_min,48.63212795
249,Macro,Final energy demand per capita,GJ (final) / cap,BR,Brazil,2030,projected_current_policy_min,51.45080352
250,Macro,GDP per capita,thousand USD2012 (PPP) / cap,BR,Brazil,2015,projected_current_policy_min,14.80068522
251,Macro,GDP per capita,thousand USD2012 (PPP) / cap,BR,Brazil,2020,projected_current_policy_min,15.03772738
252,Macro,GDP per capita,thousand USD2012 (PPP) / cap,BR,Brazil,2025,projected_current_policy_min,16.32109965
253,Macro,GDP per capita,thousand USD2012 (PPP) / cap,BR,Brazil,2030,projected_current_policy_min,18.45006383
254,Macro,GDP per capita,thousand USD2012 (PPP) / cap,BR,Brazil,2015,projected_current_policy_min,14.80068522
255,Macro,GDP per capita,thousand USD2012 (PPP) / cap,BR,Brazil,2020,projected_current_policy_min,15.03772738
256,Macro,GDP per capita,thousand USD2012 (PPP) / cap,BR,Brazil,2025,projected_current_policy_min,16.32109965
