ID,Sector,Indicator,Unit,Country_code,Country,Year,Variable,Value
132,Transport_Road,Modal_split:_share_of_private_passenger_transport,%_private_cars_and_motorcycles,BR,Brazil,2030,projected_current_policy_min,73.37878319
133,Transport_Road,Modal_split:_share_of_private_passenger_transport,%_private_cars_and_motorcycles,BR,Brazil,2050,projected_current_policy_min,73.57993418
134,Transport_Road,Road_transport_emissions_intensity,kg_CO2_/_vkm,BR,Brazil,2015,projected_current_policy_min,0.112676112
135,Transport_Road,Road_transport_emissions_intensity,kg_CO2_/_vkm,BR,Brazil,2020,projected_current_policy_min,0.10867421
136,Transport_Road,Road_transport_emissions_intensity,kg_CO2_/_vkm,BR,Brazil,2025,projected_current_policy_min,0.103287772
137,Transport_Road,Road_transport_emissions_intensity,kg_CO2_/_vkm,BR,Brazil,2030,projected_current_policy_min,0.10042618
138,Transport_Road,Road_transport_emissions_intensity,kg_CO2_/_vkm,BR,Brazil,2050,projected_current_policy_min,0.097514912
139,Transport_Road,Road_transport_emissions_intensity,kg_CO2_/_vkm,BR,Brazil,2015,projected_current_policy_min,0.112676112
140,Transport_Road,Road_transport_emissions_intensity,kg_CO2_/_vkm,BR,Brazil,2020,projected_current_policy_min,0.10867421
141,Transport_Road,Road_transport_emissions_intensity,kg_CO2_/_vkm,BR,Brazil,2025,projected_current_policy_min,0.103287772
142,Transport_Road,Road_transport_emissions_intensity,kg_CO2_/_vkm,BR,Brazil,2030,projected_current_policy_min,0.10042618
143,Transport_Road,Road_transport_emissions_intensity,kg_CO2_/_vkm,BR,Brazil,2050,projected_current_policy_min,0.097514912
144,Transport_Road,Road_transport_biofuel/electrification_share,%_biofuels/elec.,BR,Brazil,2015,projected_current_policy_min,18.68747486
145,Transport_Road,Road_transport_biofuel/electrification_share,%_biofuels/elec.,BR,Brazil,2020,projected_current_policy_min,20.37268238
146,Transport_Road,Road_transport_biofuel/electrification_share,%_biofuels/elec.,BR,Brazil,2025,projected_current_policy_min,20.53184662
147,Transport_Road,Road_transport_biofuel/electrification_share,%_biofuels/elec.,BR,Brazil,2030,projected_current_policy_min,20.6521586
148,Transport_Road,Road_transport_biofuel/electrification_share,%_biofuels/elec.,BR,Brazil,2050,projected_current_policy_min,20.78225009
149,Transport_Road,Road_transport_biofuel/electrification_share,%_biofuels/elec.,BR,Brazil,2015,projected_current_policy_min,18.68747486
150,Transport_Road,Road_transport_biofuel/electrification_share,%_biofuels/elec.,BR,Brazil,2020,projected_current_policy_min,20.37268238
151,Transport_Road,Road_transport_biofuel/electrification_share,%_biofuels/elec.,BR,Brazil,2025,projected_current_policy_min,20.53184662
152,Transport_Road,Road_transport_biofuel/electrification_share,%_biofuels/elec.,BR,Brazil,2030,projected_current_policy_min,20.6521586
153,Transport_Road,Road_transport_biofuel/electrification_share,%_biofuels/elec.,BR,Brazil,2050,projected_current_policy_min,20.78225009
154,Transport_Road,EVs_per_capita,EVs_/_1000_cap,BR,Brazil,2015,projected_current_policy_min,0.002886731
155,Transport_Road,EVs_per_capita,EVs_/_1000_cap,BR,Brazil,2020,projected_current_policy_min,0.029676336
156,Transport_Road,EVs_per_capita,EVs_/_1000_cap,BR,Brazil,2025,projected_current_policy_min,0.858387188
157,Transport_Road,EVs_per_capita,EVs_/_1000_cap,BR,Brazil,2030,projected_current_policy_min,8.715873632
158,Transport_Road,EVs_per_capita,EVs_/_1000_cap,BR,Brazil,2050,projected_current_policy_min,49.52357087
159,Transport_Road,EVs_per_capita,EVs_/_1000_cap,BR,Brazil,2015,projected_current_policy_min,0.057734629
160,Transport_Road,EVs_per_capita,EVs_/_1000_cap,BR,Brazil,2020,projected_current_policy_min,0.101188436
161,Transport_Road,EVs_per_capita,EVs_/_1000_cap,BR,Brazil,2025,projected_current_policy_min,4.014780925
162,Transport_Road,EVs_per_capita,EVs_/_1000_cap,BR,Brazil,2030,projected_current_policy_min,15.12486149
163,Transport_Road,EVs_per_capita,EVs_/_1000_cap,BR,Brazil,2050,projected_current_policy_min,270.2811834
164,Buildings,Buildings_activity_(residential),m²_/_cap,BR,Brazil,2015,projected_current_policy_min,20.97283951
165,Buildings,Buildings_activity_(residential),m²_/_cap,BR,Brazil,2020,projected_current_policy_min,23.71428571
166,Buildings,Buildings_activity_(residential),m²_/_cap,BR,Brazil,2025,projected_current_policy_min,25.48372093
167,Buildings,Buildings_activity_(residential),m²_/_cap,BR,Brazil,2030,projected_current_policy_min,27.17272727
168,Buildings,Buildings_activity_(residential),m²_/_cap,BR,Brazil,2050,projected_current_policy_min,30.26457399
169,Buildings,Buildings_activity_(residential),m²_/_cap,BR,Brazil,2015,projected_current_policy_min,20.97283951
170,Buildings,Buildings_activity_(residential),m²_/_cap,BR,Brazil,2020,projected_current_policy_min,23.71428571
171,Buildings,Buildings_activity_(residential),m²_/_cap,BR,Brazil,2025,projected_current_policy_min,25.48372093
172,Buildings,Buildings_activity_(residential),m²_/_cap,BR,Brazil,2030,projected_current_policy_min,27.17272727
173,Buildings,Buildings_activity_(residential),m²_/_cap,BR,Brazil,2050,projected_current_policy_min,30.26457399
174,Buildings,Buildings_activity_(commercial),m²_/_cap,BR,Brazil,2015,projected_current_policy_min,2.02962963
175,Buildings,Buildings_activity_(commercial),m²_/_cap,BR,Brazil,2020,projected_current_policy_min,2.061904762
176,Buildings,Buildings_activity_(commercial),m²_/_cap,BR,Brazil,2025,projected_current_policy_min,2.111627907
177,Buildings,Buildings_activity_(commercial),m²_/_cap,BR,Brazil,2030,projected_current_policy_min,2.159090909
178,Buildings,Buildings_activity_(commercial),m²_/_cap,BR,Brazil,2050,projected_current_policy_min,2.605381166
179,Buildings,Buildings_activity_(commercial),m²_/_cap,BR,Brazil,2015,projected_current_policy_min,2.02962963
180,Buildings,Buildings_activity_(commercial),m²_/_cap,BR,Brazil,2020,projected_current_policy_min,2.061904762
181,Buildings,Buildings_activity_(commercial),m²_/_cap,BR,Brazil,2025,projected_current_policy_min,2.111627907
182,Buildings,Buildings_activity_(commercial),m²_/_cap,BR,Brazil,2030,projected_current_policy_min,2.159090909
183,Buildings,Buildings_activity_(commercial),m²_/_cap,BR,Brazil,2050,projected_current_policy_min,2.605381166
184,Buildings,Buildings_emissions_intensity_(per_capita),t_CO2_/_cap,BR,Brazil,2025,projected_current_policy_min,0.100907585
185,Buildings,Buildings_emissions_intensity_(per_capita),t_CO2_/_cap,BR,Brazil,2030,projected_current_policy_min,0.088135168
186,Buildings,Buildings_emissions_intensity_(per_capita),t_CO2_/_cap,BR,Brazil,2025,projected_current_policy_min,0.100907585
187,Buildings,Buildings_emissions_intensity_(per_capita),t_CO2_/_cap,BR,Brazil,2030,projected_current_policy_min,0.088135168
188,Forestry,Forest_land_area_index,ha_of_forest_(indexed_to_1990),BR,Brazil,2015,projected_current_policy_min,0.903770161
189,Forestry,Forest_land_area_index,ha_of_forest_(indexed_to_1990),BR,Brazil,2020,projected_current_policy_min,0.903770168
190,Forestry,Forest_land_area_index,ha_of_forest_(indexed_to_1990),BR,Brazil,2025,projected_current_policy_min,0.901810972
191,Forestry,Forest_land_area_index,ha_of_forest_(indexed_to_1990),BR,Brazil,2030,projected_current_policy_min,0.888868158
192,Forestry,Forest_land_area_index,ha_of_forest_(indexed_to_1990),BR,Brazil,2050,projected_current_policy_min,0.865202252
193,Forestry,Forest_land_area_index,ha_of_forest_(indexed_to_1990),BR,Brazil,2015,projected_current_policy_min,0.903770161
194,Forestry,Forest_land_area_index,ha_of_forest_(indexed_to_1990),BR,Brazil,2020,projected_current_policy_min,0.903770168
195,Forestry,Forest_land_area_index,ha_of_forest_(indexed_to_1990),BR,Brazil,2025,projected_current_policy_min,0.901810972
196,Forestry,Forest_land_area_index,ha_of_forest_(indexed_to_1990),BR,Brazil,2030,projected_current_policy_min,0.888868158
197,Forestry,Forest_land_area_index,ha_of_forest_(indexed_to_1990),BR,Brazil,2050,projected_current_policy_min,0.865202252
198,Agriculture,Agriculture_activity_(meat):_consumption,meat_kcal_/_cap_/_day,BR,Brazil,2020,projected_current_policy_min,496.95
199,Agriculture,Agriculture_activity_(meat):_consumption,meat_kcal_/_cap_/_day,BR,Brazil,2025,projected_current_policy_min,505.21
200,Agriculture,Agriculture_activity_(meat):_consumption,meat_kcal_/_cap_/_day,BR,Brazil,2020,projected_current_policy_min,496.95
201,Agriculture,Agriculture_activity_(meat):_consumption,meat_kcal_/_cap_/_day,BR,Brazil,2025,projected_current_policy_min,505.21
202,Agriculture,Agriculture_activity_(total):_consumption,kcal_/_cap_/_day,BR,Brazil,2015,projected_current_policy_min,2990
203,Agriculture,Agriculture_activity_(total):_consumption,kcal_/_cap_/_day,BR,Brazil,2020,projected_current_policy_min,2954.333333
204,Agriculture,Agriculture_activity_(total):_consumption,kcal_/_cap_/_day,BR,Brazil,2025,projected_current_policy_min,2918.666667
205,Agriculture,Agriculture_activity_(total):_consumption,kcal_/_cap_/_day,BR,Brazil,2030,projected_current_policy_min,3090
206,Agriculture,Agriculture_activity_(total):_consumption,kcal_/_cap_/_day,BR,Brazil,2050,projected_current_policy_min,3200
207,Agriculture,Agriculture_activity_(total):_consumption,kcal_/_cap_/_day,BR,Brazil,2015,projected_current_policy_min,2990
208,Agriculture,Agriculture_activity_(total):_consumption,kcal_/_cap_/_day,BR,Brazil,2020,projected_current_policy_min,2954.333333
209,Agriculture,Agriculture_activity_(total):_consumption,kcal_/_cap_/_day,BR,Brazil,2025,projected_current_policy_min,2918.666667
210,Agriculture,Agriculture_activity_(total):_consumption,kcal_/_cap_/_day,BR,Brazil,2030,projected_current_policy_min,3090
211,Agriculture,Agriculture_activity_(total):_consumption,kcal_/_cap_/_day,BR,Brazil,2050,projected_current_policy_min,3200
212,Agriculture,Agriculture_activity_(meat):_production,meat_kg_/_cap_/_day,BR,Brazil,2020,projected_current_policy_min,0.393
213,Agriculture,Agriculture_activity_(meat):_production,meat_kg_/_cap_/_day,BR,Brazil,2025,projected_current_policy_min,0.401
214,Agriculture,Agriculture_activity_(meat):_production,meat_kg_/_cap_/_day,BR,Brazil,2020,projected_current_policy_min,0.393
215,Agriculture,Agriculture_activity_(meat):_production,meat_kg_/_cap_/_day,BR,Brazil,2025,projected_current_policy_min,0.401
216,Waste,Waste_generation_(per_capita),t_waste_/_cap,BR,Brazil,2015,projected_current_policy_min,0.36792
217,Waste,Waste_generation_(per_capita),t_waste_/_cap,BR,Brazil,2020,projected_current_policy_min,0.38909
218,Waste,Waste_generation_(per_capita),t_waste_/_cap,BR,Brazil,2025,projected_current_policy_min,0.419385
219,Waste,Waste_generation_(per_capita),t_waste_/_cap,BR,Brazil,2030,projected_current_policy_min,0.44822
220,Waste,Waste_generation_(per_capita),t_waste_/_cap,BR,Brazil,2050,projected_current_policy_min,0.547865
221,Waste,Waste_generation_(per_capita),t_waste_/_cap,BR,Brazil,2025,projected_current_policy_min,0.527897637
222,Macro,Emissions_per_capita,tCO2e_/_cap,BR,Brazil,2015,projected_current_policy_min,5.080250174
223,Macro,Emissions_per_capita,tCO2e_/_cap,BR,Brazil,2020,projected_current_policy_min,4.867865427
224,Macro,Emissions_per_capita,tCO2e_/_cap,BR,Brazil,2025,projected_current_policy_min,4.832724753
225,Macro,Emissions_per_capita,tCO2e_/_cap,BR,Brazil,2030,projected_current_policy_min,4.889768471
226,Macro,Emissions_per_capita,tCO2e_/_cap,BR,Brazil,2015,projected_current_policy_min,5.080250174
227,Macro,Emissions_per_capita,tCO2e_/_cap,BR,Brazil,2020,projected_current_policy_min,4.873465098
228,Macro,Emissions_per_capita,tCO2e_/_cap,BR,Brazil,2025,projected_current_policy_min,4.840407496
229,Macro,Emissions_per_capita,tCO2e_/_cap,BR,Brazil,2030,projected_current_policy_min,4.901654422
230,Macro,Primary_energy_demand_per_capita,GJ_(primary)_/_cap,BR,Brazil,2015,projected_current_policy_min,60.0244281
231,Macro,Primary_energy_demand_per_capita,GJ_(primary)_/_cap,BR,Brazil,2020,projected_current_policy_min,57.86004986
232,Macro,Primary_energy_demand_per_capita,GJ_(primary)_/_cap,BR,Brazil,2025,projected_current_policy_min,60.27379564
